pubmed articles,sample_id
19386375,"['lp_0600', 'lp_0775', 'lp_2486', 'lp_2991', 'lp_3059', 'lp_3127', 'lp_3050', 'lp_0373']"
15364474,"['lp_1002', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
19601665,"['lp_1002', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
20438129,"['lp_1002', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
23836494,"['lp_1002', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
23648840,"['lp_1002', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
11097909,"['lp_1424', 'lp_1425', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
10919793,"['lp_1424', 'lp_1425', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
26279142,"['lp_1424', 'lp_1425', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
22802930,"['lp_2631', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
27375240,"['lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
17890341,"['lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_3050']"
19217549,"['lp_0050', 'lp_0600', 'lp_1002', 'lp_2578', 'lp_2631', 'lp_0796', 'lp_0373']"
18193201,"['lp_0050', 'lp_0725', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2991', 'lp_3014']"
16338113,"['lp_0050', 'lp_0775', 'lp_0789', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_2945']"
19672048,"['lp_0050', 'lp_0600', 'lp_0789', 'lp_2714', 'lp_3014', 'lp_3050', 'lp_0373']"
24332262,"['lp_0050', 'lp_0775', 'lp_1002', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
24375235,"['lp_0050', 'lp_0775', 'lp_1002', 'lp_2714', 'lp_2991', 'lp_0796', 'lp_2943']"
21638779,"['lp_0050', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
19604592,"['lp_0600', 'lp_0725', 'lp_1153', 'lp_2256', 'lp_2991', 'lp_2943', 'lp_0373']"
18620772,"['lp_0600', 'lp_0789', 'lp_2486', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_0373']"
21167023,"['lp_0725', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2991', 'lp_3014', 'lp_2943']"
27231133,"['lp_0775', 'lp_0789', 'lp_2991', 'lp_3014', 'lp_2943', 'lp_3050', 'lp_0373']"
16339934,"['lp_0775', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
23546829,"['lp_1002', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
24577784,"['lp_1002', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
29091336,"['lp_2631', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
24708557,"['lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
